time [min],cell length at division [É m],septum position [É m]
-230,3.71,1.78
-230,4.03,1.96
-215,4.32,2.05
-210,4.63,2.26
-155,4.03,2.09
-155,4.01,2.03
-145,4.34,2.26
-135,4.6,2.4
-135,4.91,2.42
-135,4.57,2.23
-125,4.72,2.15
-125,5,2.8
-95,3.79,2.07
-85,4.25,2.25
-80,4.19,2.35
-80,4.18,2.06
-75,4.18,2.2
-75,4.18,2.17
-75,4.11,1.91
-70,4.22,1.96
-70,4.67,2.31
-70,4.12,1.95
-65,3.6,1.85
-55,5.58,2.57
-40,3.74,1.74
-40,3.78,1.92
-40,3.67,1.76
-35,3.47,1.83
-35,3.43,1.72
-30,3.79,1.93
-25,3.57,1.82
-25,3.96,2.08
-20,2.99,1.54
-15,3.92,2.01
-15,4.3,1.9
-15,4.13,2.17
-10,3.88,1.99
-10,4.29,2.33
-5,3.5,1.74
-5,5,2.17
-225,3.66,1.83
-225,3.74,1.84
-140,4.2,2.12
-135,4.47,2.44
-115,4.86,2.37
-100,5.04,2.51
-75,5.42,2.71
-75,4.29,2.04
-70,4.2,2.16
-65,4.51,2.02
-60,4.2,2.07
-55,3.79,1.91
-50,4.61,2.4
-40,4.77,2.59
-35,4.63,2.11
-35,4.66,2.42
-20,3.85,2.01
-15,4.7,2.23
-15,4.08,1.99
-10,3.72,1.85
-5,4.78,2.47
-5,4.41,2.18
-225,4.58,2.26
-205,5.37,2.52
-180,4.22,2.06
-170,4.78,2.33
-165,4.69,2.3
-165,4.51,2.53
-125,4.13,1.97
-125,4.32,2.1
-115,4.58,2.2
-115,4.29,2.04
-105,5.1,2.73
-105,4.21,2.02
-80,4.29,2.16
-80,4.04,2.2
-80,3.95,1.98
-80,4.17,1.88
-75,4.44,2.27
-70,6.94,3.34
-70,4.34,2.08
-70,4.32,2.13
-70,4.69,2.4
-65,4.16,2.22
-65,4.4,2.28
-65,3.8,1.96
-60,3.96,2.04
-60,4.17,1.82
-55,4.68,2.24
-55,4.82,2.39
-50,4.34,2.39
-45,4.72,2.31
-35,3.73,1.92
-30,3.97,2
-30,4.27,2.16
-30,4.04,2.17
-180,5.51,2.63
-150,4.91,2.46
-135,4.04,2.05
-125,4.93,2.77
-125,4.52,2.11
-85,3.65,1.71
-85,3.54,1.85
-85,3.77,1.75
-80,3.41,1.6
-80,4.3,2.52
-75,3.76,1.91
-75,3.9,1.96
-55,5.3,2.57
-30,5.53,3.07
-15,3.97,1.9
-15,3.76,1.84
-15,3.88,1.93
-15,3.89,2.09
-15,4.03,2.02
-15,4.24,2.03
-15,3.56,1.75
-15,3.58,1.73
-10,4.1,2.05
-10,3.45,1.84
-5,4.61,2.12
