time [min],cell length at division [É m],septum position [É m]
0,4.11,2.32
0,3.76,2.01
0,3.57,1.96
5,3.56,1.73
5,3.5,1.73
10,3.06,1.48
10,3.34,1.59
10,3.95,2.03
10,3.64,1.72
10,3.39,1.65
15,3.41,1.8
15,3.33,1.74
15,3.48,1.82
20,3.47,1.72
20,3.76,1.88
25,3.42,1.88
25,3.26,1.56
25,3.85,1.85
30,4.38,2.19
30,3.06,1.36
35,2.91,1.47
35,3.45,1.72
40,3.07,1.57
40,2.9,1.54
45,3.75,1.91
50,3.49,1.71
50,3.09,1.55
55,3.04,1.54
70,3.19,1.76
90,2.93,1.39
0,3.77,2.13
0,3.99,1.75
0,3.93,1.94
5,4.87,2.8
5,3.86,1.86
5,3.94,2.1
5,3.83,1.89
5,3.95,1.97
10,3.63,1.81
10,4.47,2.24
20,4.9,2.28
35,3.83,1.96
40,3.65,1.84
45,3.31,1.5
60,2.81,1.45
5,4.51,2.27
5,4.51,2.2
5,3,1.56
5,3.71,1.67
10,3.77,1.83
10,3.78,1.92
10,4.04,2.04
10,4.04,1.99
10,4.45,2.13
15,3.41,1.68
15,2.95,1.45
20,4.11,1.99
20,3.67,1.73
20,3.91,2.06
25,5,2.64
25,4.28,2.22
30,3.57,1.9
35,4.15,2.36
35,3.52,1.76
40,3.16,1.55
45,2.94,1.34
45,3.28,1.69
65,3.03,1.44
65,2.89,1.45
90,3.01,1.47
90,3.2,1.28
0,4.81,2.14
0,3.91,1.92
0,4.25,1.99
5,4.37,2.19
5,4.14,2.06
5,4.24,2.14
5,4.38,2.08
10,3.8,1.83
10,3.95,1.82
20,4.09,1.94
20,4.89,2.56
25,4.99,2.54
25,2.82,1.36
35,3.16,1.55
35,3.66,1.81
40,3.18,1.59
40,3.23,1.59
45,3.65,1.74
45,2.86,1.31
60,3.2,1.69
70,3.16,1.68
70,2.73,1.41
15,3.6,1.65
10,3.22,1.54
25,2.95,1.51
30,3.77,1.9
45,3.02,1.38
60,2.73,1.29
0,3.85,2.03
0,4,2.13
5,4.95,2.23
10,3.31,1.91
25,3.38,1.69
25,3.68,1.91
45,3.09,1.55
115,3.07,1.23
