time [min],cell length at division [É m],septum position [É m]
-65,6.95,3.2
-45,5.02,2.9
-35,6.86,3.23
-35,7.76,3.47
-35,7.11,3.82
-25,5.32,2.77
-25,5.56,2.59
-15,5.46,2.77
-15,7.42,3.6
-10,7.35,3.25
-10,8.32,4.06
-35,7.26,3.65
-20,9.9,4.61
-5,7.59,3.87
-25,8.62,4.52
-25,7.09,3.5
-20,8.42,4.47
-5,7.32,3.39
-45,7.28,3.79
-45,6.29,3.08
-40,8.68,4.29
-35,8.22,4.31
-25,5.87,3.16
-20,7.43,3.85
-20,7.75,3.92
-20,7.31,3.6
-20,5.97,2.95
-20,5.93,3.13
-5,5.63,2.8
-55,6.35,3.21
-55,7.49,3.33
-50,5.61,2.62
-50,7.4,3.66
-50,7.6,3.83
-50,5.97,3.06
-45,6.46,3.11
-45,9.09,4.31
-35,6.36,3.32
-35,5.94,2.65
-30,6.84,3.37
-30,6.4,3.28
-30,4.77,2.59
-30,5.02,2.33
-25,7.29,3.82
-25,8.46,4.09
-25,7.83,4.23
-25,7.38,3.39
-25,6.21,2.81
-25,7.4,3.62
-25,5.99,3.08
-20,7.02,3.71
-10,5.58,3.07
-10,6.06,3.1
-10,6.52,3.33
-10,6.45,3.06
-10,6.6,3.36
-10,5.51,2.61
-5,6.91,3.33
-5,6.67,3.33
-5,6.96,3.6
-5,4.45,2.45
-65,6.22,3.02
-65,5.35,2.52
-65,6.74,3.68
-60,6.51,3.03
-50,5.41,2.58
-40,5.98,3.12
-40,6.17,2.98
-40,5.53,2.78
-40,5.75,3.04
-40,5.88,2.64
-35,6.31,3.01
-35,6.19,3.2
-20,6.16,3.08
-20,5.48,2.75
-20,5.97,2.95
-20,4.84,2.69
-15,6.25,3.26
-15,6.57,3.22
-15,6.85,3.68
-15,6.16,3.11
-15,6.43,2.95
-15,5.63,2.84
-15,6.87,3.4
-15,5.85,2.95
-10,6.52,3.15
-10,6.41,3.31
-10,6.49,3.31
-65,5.45,2.87
-55,7.46,3.49
-35,6.33,2.9
-35,5.85,2.51
-30,7.1,3.65
-30,5.79,2.8
-15,5.01,2.48
-15,5.66,2.81
-10,5.95,2.75
-10,5.84,2.93
-10,5.9,3.02
-5,5.87,2.84
-5,6.25,3.03
-5,5.71,2.93
