time [min],cell length at division [É m],septum position [É m]
0,4.84,2.39
5,6.9,3.69
5,6.72,3.44
5,5.19,3.32
5,5.98,2.91
5,5,2.49
5,6.93,3.38
10,7.05,3.4
15,10.83,5.23
15,6.7,3.6
15,6.89,3.34
15,5.79,2.91
20,7.43,3.31
20,9.76,4.89
25,8.09,3.57
25,5.03,2.4
30,5.76,2.8
30,6.09,2.95
30,4.87,2.53
35,6.01,2.91
35,6.1,3.3
35,5.21,2.6
35,4.63,2.05
35,4.74,2.27
35,5.01,2.52
40,5.66,2.53
40,4.6,2.25
45,8.03,3.92
45,4.96,2.4
45,7.1,3.54
45,6.04,2.98
50,7.92,3.25
50,9.09,3.91
55,4.25,2.35
55,5.8,2.82
60,3.7,1.9
60,4.5,2.45
60,4.55,2.35
60,4.46,2.23
60,4.4,2.1
60,4.47,2.01
65,4.46,2.2
70,4.18,2.04
75,4.52,2.24
75,4.12,2.04
80,3.5,1.89
80,6.08,2.69
80,5.21,2.05
80,4.43,2.19
85,3.88,1.88
90,4.96,2.2
95,3.9,2
95,3.81,1.86
100,3.83,1.97
115,4.11,2
115,3.35,1.96
115,3.46,1.69
125,3.95,2.1
130,4.56,2.18
160,4.88,2.58
160,4.18,2.08
140,4.41,2
210,4.42,2.17
210,2.98,1.43
125,4.04,1.92
220,3.9,2
105,3.76,1.87
75,4.32,2.2
20,5.92,2.84
20,6.01,3.1
5,5.84,3.07
5,6.4,3.31
40,4.23,2.07
40,4.73,2.29
25,5.69,2.79
15,6.34,2.82
15,5.44,2.44
20,5.88,2.95
20,6.28,3.1
25,6.45,3.24
65,4.24,2.21
75,3.5,1.6
75,2.52,1.6
155,3.07,1.58
210,3.39,1.57
365,3.26,1.51
330,3.34,1.53
360,3.28,1.56
450,3,1.5
370,3.09,1.53
260,3.1,1.41
235,3.15,1.54
410,4.31,2.19
265,3.91,1.82
435,3.64,1.77
285,3.56,1.78
305,3.62,1.65
180,3.52,1.81
185,2.85,1.54
110,3.5,1.65
130,3.43,1.72
195,3.94,1.95
260,4.15,2.04
